analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.01092,0.0107174,0.010683999999999999,0.010656,7.989882491139748e-05,cuda,case118_ieee,mixed,0.011694,0.0115049,0.011473500000000001,0.011446,7.565484489149085e-05,9.353373631171e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000792,0.0007869,0.0007884999999999999,0.000773,5.506561742341767e-06,cuda_mixed_edge,True
0.017352,0.0168532,0.016767,0.016729,0.00019926297531988528,cuda,case1354_pegase,mixed,0.019366,0.0188645,0.018777000000000002,0.018734,0.0002007066682167453,9.269942286953e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002026,0.0020108,0.0020125,0.001997,8.841819822738891e-06,cuda_mixed_edge,True
0.02311,0.0223396,0.022227,0.022176,0.0002905799564854927,cuda,case2746wop_k,mixed,0.025378,0.024577,0.024460000000000003,0.024404,0.0003028652065413481,1.285095062367e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002267,0.0022367,0.002232,0.002227,1.2798003316489997e-05,cuda_mixed_edge,True
0.010426,0.0102593,0.0102225,0.010196,8.323334000800918e-05,cuda,case30_ieee,mixed,0.011103,0.010941,0.01091,0.010878,8.474405911658676e-05,2.406190051354e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000692,0.0006813,0.0006789999999999999,0.00067,8.485936077482035e-06,cuda_mixed_edge,True
0.033944,0.0322429,0.0320345,0.031936,0.0006054708819496521,cuda,case4601_goc,mixed,0.038026,0.0363598,0.036186499999999996,0.036072,0.0005922814271010765,4.241149653694e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004197,0.0041168,0.0040985,0.004082,3.760555514518806e-05,cuda_mixed_edge,True
0.01429,0.0140822,0.0140115,0.013965,0.00013308460132979754,cuda,case793_goc,mixed,0.015701,0.0154916,0.015469,0.015186,0.00015283120681908446,9.983338364328e-09,cuda_edge,5.8,edge_based,end2end,cuda_edge,10,0.001472,0.0014089,0.0014545,0.00121,0.00010393956577421968,cuda_mixed_edge,True
0.05021,0.0477456,0.047397499999999995,0.047304,0.000888304402280609,cuda,case8387_pegase,mixed,0.056153,0.053735,0.053454,0.053301,0.000863661713609881,3.201229170635e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006165,0.0059888,0.005964499999999999,0.005902,8.253053307042729e-05,cuda_mixed_edge,True
0.061433,0.0548082,0.053428,0.053351,0.002712480570334919,cuda,case9241_pegase,mixed,0.071902,0.0650022,0.0639615,0.061842,0.003108805980150934,4.53974631151e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.011592,0.0101937,0.010499,0.007078,0.0011683610600609156,cuda_mixed_edge,True
0.011118,0.0108504,0.010798,0.010772,0.00011417355210380368,cuda,case118_ieee,mixed,0.012071,0.0117965,0.011743,0.011706,0.00011721324346866471,7.535139179282e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000965,0.0009454,0.0009415000000000001,0.000934,1.0286992865858427e-05,cuda_mixed_edge,True
0.017487,0.017038499999999998,0.016947,0.016903,0.00018999371334628694,cuda,case1354_pegase,mixed,0.019847,0.0193955,0.019299999999999998,0.019251,0.00019286970270683326,8.646083848873e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002368,0.0023564,0.0023585,0.002347,7.26024180803294e-06,cuda_mixed_edge,True
